Rank,Player,Team,Age,GP,Wins,Losses,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PlusMinus
151,Monte Morris,MIN,28,9,6,3,7.4,2.3,1.0,3.3,30.0,0.1,1.6,7.1,0.2,0.2,100.0,0.1,0.6,0.7,1.0,0.0,0.2,0.1,0.7,5.6,0.0,0.0,0.2
153,Jae Crowder,MIL,33,4,1,3,10.5,2.3,0.8,3.0,25.0,0.3,1.8,14.3,0.5,0.5,100.0,0.5,1.0,1.5,0.5,0.0,0.0,0.5,1.0,6.3,0.0,0.0,-6.3
154,DaQuan Jeffries,NYK,26,4,1,3,5.0,2.0,0.8,2.0,37.5,0.5,1.3,40.0,0.0,0.0,0.0,0.3,0.8,1.0,0.0,0.0,0.3,0.0,0.5,4.0,0.0,0.0,3.3
154,DeAndre Jordan,DEN,35,2,1,1,6.5,2.0,0.5,1.0,50.0,0.0,0.0,0.0,1.0,1.0,100.0,0.5,1.0,1.5,0.0,0.0,0.5,0.5,2.0,6.8,0.0,0.0,-10.0
154,Jeremiah Robinson-Earl,NOP,23,1,0,1,5.3,2.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.7,0.0,0.0,-1.0
157,Jalen Smith,IND,24,7,3,4,6.0,1.9,0.4,1.1,37.5,0.3,0.6,50.0,0.7,1.1,62.5,1.0,1.0,2.0,0.3,0.6,0.3,0.1,1.1,5.4,0.0,0.0,-5.9
158,Kevin Love,MIA,35,5,1,4,6.4,1.8,0.8,1.8,44.4,0.2,0.8,25.0,0.0,0.0,0.0,0.2,2.6,2.8,0.8,0.4,0.0,0.0,0.4,6.0,0.0,0.0,-6.8
158,Peyton Watson,DEN,21,10,6,4,9.0,1.8,0.6,2.4,25.0,0.3,1.2,25.0,0.3,0.6,50.0,0.2,1.3,1.5,0.4,0.3,0.0,0.6,0.9,5.7,0.0,0.0,-3.4
160,Jose Alvarado,NOP,26,4,0,4,15.4,1.8,0.8,5.0,15.0,0.3,3.5,7.1,0.0,0.0,0.0,0.0,1.0,1.0,2.3,1.0,1.3,0.3,0.8,9.8,0.0,0.0,-5.3
160,Nassir Little,PHX,24,4,0,4,3.4,1.8,0.8,1.3,60.0,0.3,0.8,33.3,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.5,2.1,0.0,0.0,-1.5
162,Brandon Boston Jr.,LAC,22,3,0,3,3.2,1.7,0.7,1.3,50.0,0.0,0.0,0.0,0.3,0.7,50.0,0.3,0.3,0.7,0.3,0.0,0.0,0.0,0.7,3.0,0.0,0.0,1.7
162,Zeke Nnaji,DEN,23,3,1,2,4.7,1.7,0.7,1.0,66.7,0.0,0.0,0.0,0.3,0.7,50.0,0.7,0.0,0.7,0.0,0.7,0.0,0.3,0.3,2.8,0.0,0.0,-1.7
164,Joe Ingles,ORL,36,7,3,4,9.6,1.6,0.6,1.7,33.3,0.3,1.0,28.6,0.1,0.3,50.0,0.3,1.6,1.9,1.7,0.0,0.4,0.0,0.4,7.7,0.0,0.0,2.1
165,Josh Minott,MIN,21,4,3,1,3.8,1.5,0.5,1.8,28.6,0.5,1.0,50.0,0.0,0.0,0.0,0.3,1.0,1.3,0.5,0.0,0.0,0.0,0.5,3.8,0.0,0.0,2.0
165,Paul Reed,PHI,24,6,2,4,7.2,1.5,0.7,1.5,44.4,0.0,0.0,0.0,0.2,0.3,50.0,1.5,1.2,2.7,0.3,0.5,0.2,0.5,1.2,6.7,0.0,0.0,-7.3
165,Tristan Thompson,CLE,33,10,3,7,8.7,1.5,0.7,1.6,43.8,0.0,0.0,0.0,0.1,0.2,50.0,1.0,1.0,2.0,1.0,0.2,0.1,0.5,0.9,7.0,0.0,0.0,-3.2
168,Gabe Vincent,LAL,27,5,1,4,13.8,1.4,0.6,2.4,25.0,0.2,1.4,14.3,0.0,0.0,0.0,0.2,1.4,1.6,0.6,0.6,0.4,0.0,1.6,4.8,0.0,0.0,-1.8
168,Jericho Sims,NYK,25,5,1,4,5.5,1.4,0.4,0.4,100.0,0.0,0.0,0.0,0.6,0.8,75.0,0.6,1.0,1.6,0.2,0.0,0.4,0.2,0.2,5.4,0.0,0.0,1.6
170,Dante Exum,DAL,28,14,10,4,6.2,1.4,0.5,2.1,23.3,0.1,0.9,16.7,0.2,0.3,75.0,0.1,0.5,0.6,0.6,0.1,0.1,0.1,0.4,3.4,0.0,0.0,-2.1
171,Dyson Daniels,NOP,21,3,0,3,5.7,1.3,0.7,2.0,33.3,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.3,0.7,0.0,0.0,3.8,0.0,0.0,-4.3
171,Jaden Springer,BOS,21,3,2,1,4.7,1.3,0.7,0.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.7,0.0,0.3,0.3,2.6,0.0,0.0,1.0
171,Jalen Pickett,DEN,24,3,1,2,3.6,1.3,0.7,1.0,66.7,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.0,0.0,0.3,0.3,3.2,0.0,0.0,-0.7
174,Doug McDermott,IND,32,10,4,6,6.4,1.3,0.5,1.1,45.5,0.3,0.8,37.5,0.0,0.0,0.0,0.2,0.1,0.3,0.7,0.1,0.0,0.2,0.5,3.2,0.0,0.0,-1.9
175,Oshae Brissett,BOS,25,7,6,1,5.2,1.3,0.6,1.0,57.1,0.1,0.1,100.0,0.0,0.3,0.0,0.3,1.3,1.6,0.0,0.1,0.4,0.1,0.3,4.7,0.0,0.0,1.9
176,Shake Milton,NYK,27,4,1,3,5.5,1.3,0.0,1.5,0.0,0.0,0.5,0.0,1.3,1.5,83.3,0.0,0.3,0.3,0.5,0.0,0.3,0.0,0.0,3.1,0.0,0.0,2.8
177,A.J. Lawson,DAL,23,7,5,2,2.3,1.1,0.4,0.9,50.0,0.3,0.7,40.0,0.0,0.0,0.0,0.1,0.3,0.4,0.0,0.0,0.0,0.1,0.1,2.1,0.0,0.0,-1.4
178,Caleb Houstan,ORL,21,3,2,1,4.7,1.0,0.3,0.7,50.0,0.3,0.7,50.0,0.0,0.0,0.0,0.3,0.3,0.7,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,-4.3
178,Chris Livingston,MIL,20,2,0,2,3.1,1.0,0.5,0.5,100.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
178,James Johnson,IND,37,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
178,Jordan Walsh,BOS,20,2,1,1,3.0,1.0,0.5,0.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,-0.5
178,Neemias Queta,BOS,24,2,1,1,4.0,1.0,0.5,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.5,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,2.0
178,Xavier Tillman,BOS,25,6,5,1,8.4,1.0,0.5,0.8,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.2,1.5,0.3,0.3,0.5,0.2,0.7,5.0,0.0,0.0,4.3
184,Jarace Walker,IND,20,9,6,3,3.4,0.9,0.3,1.1,30.0,0.0,0.3,0.0,0.2,0.3,66.7,0.1,0.3,0.4,0.4,0.7,0.2,0.1,0.2,2.4,0.0,0.0,-2.0
185,Jordan McLaughlin,MIN,28,5,4,1,4.9,0.8,0.4,1.2,33.3,0.0,0.8,0.0,0.0,0.4,0.0,0.0,0.8,0.8,0.4,0.4,0.0,0.0,0.2,2.0,0.0,0.0,4.2
186,MarJon Beauchamp,MIL,23,4,1,3,2.4,0.8,0.3,1.0,25.0,0.0,0.5,0.0,0.3,0.5,50.0,0.0,0.3,0.3,0.5,0.3,0.0,0.0,0.3,1.6,0.0,0.0,0.8
187,Bol Bol,PHX,24,3,0,3,4.3,0.7,0.3,1.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,0.0,0.0,0.3,0.0,0.7,3.3,0.0,0.0,0.3
188,Svi Mykhailiuk,BOS,26,5,4,1,3.7,0.6,0.2,0.8,25.0,0.2,0.8,25.0,0.0,0.0,0.0,0.2,0.4,0.6,0.2,0.4,0.2,0.0,0.6,1.8,0.0,0.0,0.2
189,Kendall Brown,IND,21,7,5,2,3.5,0.6,0.3,0.9,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.3,0.4,0.0,0.1,0.3,1.5,0.0,0.0,-2.9
189,Kenrich Williams,OKC,29,7,6,1,4.5,0.6,0.3,1.1,25.0,0.0,0.7,0.0,0.0,0.0,0.0,0.1,1.0,1.1,0.4,0.0,0.1,0.0,0.4,3.0,0.0,0.0,-0.9
191,Dwight Powell,DAL,32,8,6,2,2.8,0.5,0.0,0.3,0.0,0.0,0.0,0.0,0.5,0.8,66.7,0.3,0.6,0.9,0.1,0.0,0.1,0.0,0.6,2.1,0.0,0.0,-1.5
191,Mamadi Diakite,NYK,27,4,1,3,3.7,0.5,0.0,0.8,0.0,0.0,0.5,0.0,0.5,0.5,100.0,0.0,0.8,0.8,0.3,0.3,0.3,0.3,0.8,3.0,0.0,0.0,3.3
191,Ousmane Dieng,OKC,21,4,2,2,1.8,0.5,0.3,0.5,50.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
194,Wendell Moore Jr.,MIN,22,5,5,0,3.1,0.4,0.2,0.8,25.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.2,0.2,0.0,0.4,1.9,0.0,0.0,1.0
195,Hunter Tyson,DEN,23,3,1,2,4.6,0.3,0.0,1.3,0.0,0.0,1.0,0.0,0.3,0.7,50.0,0.3,0.7,1.0,0.3,0.3,0.0,0.0,0.0,1.7,0.0,0.0,-2.3
196,Jaxson Hayes,LAL,24,4,1,3,6.0,0.3,0.0,0.5,0.0,0.0,0.0,0.0,0.3,0.5,50.0,0.8,2.3,3.0,0.3,0.5,0.0,0.0,1.8,3.7,0.0,0.0,1.8
197,Damian Jones,CLE,28,2,1,1,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,1.0,0.0,0.5,0.0,3.2,0.0,0.0,-1.5
197,David Roddy,PHX,23,2,0,2,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5
197,De'Anthony Melton,PHI,26,1,0,1,7.2,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.7,0.0,0.0,-1.0
197,E.J. Liddell,NOP,23,1,0,1,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,2.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,Goga Bitadze,ORL,24,2,2,0,4.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.5,1.0,0.5,0.0,0.0,0.0,2.8,0.0,0.0,-4.0
197,Gordon Hayward,OKC,34,7,5,2,6.6,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.7,1.9,0.4,0.0,0.1,0.1,0.3,3.7,0.0,0.0,2.3
197,Isaiah Thomas,PHX,35,1,0,1,3.6,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,-5.0
197,Jordan Hawkins,NOP,22,3,0,3,3.8,0.0,0.0,1.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.3,0.8,0.0,0.0,0.3
197,Kobe Brown,LAC,24,3,0,3,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.7,0.0,0.0,0.0,0.0,0.3,0.8,0.0,0.0,1.0
197,Leonard Miller,MIN,20,2,2,0,1.9,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,1.5
197,Lindy Waters III,OKC,26,3,3,0,2.8,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,-1.3
197,Matt Ryan,NOP,27,1,0,1,2.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,3.2,0.0,0.0,2.0
197,Olivier-Maxence Prosper,DAL,21,1,0,1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
197,Orlando Robinson,MIA,23,1,0,1,2.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,3.0
197,T.J. Warren,MIN,30,3,2,1,3.8,0.0,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.7,0.3,1.0,0.3,0.0,0.0,0.0,0.0,1.7,0.0,0.0,2.3
197,Thaddeus Young,PHX,35,1,0,1,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0
197,Thanasis Antetokounmpo,MIL,31,2,0,2,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,3.0,0.0,0.0,1.0
