Rank,Player,Team,Age,GP,Wins,Losses,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PlusMinus
92,Payton Pritchard,BOS,26,14,12,2,21.0,7.5,2.6,5.5,48.1,1.4,3.1,45.5,0.8,0.9,91.7,0.9,1.3,2.1,2.3,0.8,0.2,0.0,1.1,13.4,0.0,0.0,1.9
93,Taurean Prince,LAL,30,5,1,4,22.2,7.4,2.4,5.8,41.4,1.0,3.4,29.4,1.6,1.6,100.0,0.2,2.2,2.4,0.6,0.2,0.2,0.4,1.8,12.8,0.0,0.0,-0.6
94,Kyle Lowry,PHI,38,6,2,4,29.2,7.0,1.8,5.3,34.4,1.3,4.0,33.3,2.0,2.5,80.0,1.0,2.5,3.5,4.0,0.7,1.0,0.7,3.8,21.5,0.0,0.0,2.8
95,Markelle Fultz,ORL,25,7,3,4,15.1,6.4,2.9,4.9,58.8,0.0,0.1,0.0,0.7,1.3,55.6,1.0,1.0,2.0,1.1,1.1,0.4,0.0,1.7,10.7,0.0,0.0,4.6
96,Isaiah Joe,OKC,24,10,6,4,17.3,6.4,2.4,5.4,44.4,1.6,3.9,41.0,0.0,0.0,0.0,0.4,1.8,2.2,1.0,0.5,0.5,0.0,1.0,11.5,0.0,0.0,1.3
97,Nicolas Batum,PHI,35,6,2,4,28.3,6.3,2.0,4.8,41.4,1.5,3.7,40.9,0.8,1.3,62.5,1.5,4.3,5.8,1.3,0.8,0.2,0.8,2.2,17.5,0.0,0.0,-3.0
97,Russell Westbrook,LAC,35,6,2,4,19.0,6.3,2.2,8.3,26.0,0.7,2.8,23.5,1.3,2.2,61.5,1.0,3.2,4.2,1.7,1.7,1.2,0.5,1.8,17.2,0.0,0.0,0.2
99,Jonathan Isaac,ORL,26,7,3,4,21.0,6.3,2.3,5.6,41.0,1.4,3.9,37.0,0.3,0.3,100.0,1.4,3.4,4.9,0.4,0.6,0.7,1.3,1.0,18.2,0.0,0.0,0.9
99,Moritz Wagner,ORL,27,7,3,4,15.0,6.3,2.3,5.1,44.4,0.3,1.3,22.2,1.4,2.4,58.8,1.6,2.9,4.4,0.3,1.1,0.9,0.4,3.0,14.7,0.0,0.0,4.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Larry Nance Jr.,NOP,31,4,0,4,21.1,6.3,2.5,4.3,58.8,0.3,1.0,25.0,1.0,1.5,66.7,3.8,4.5,8.3,1.8,1.8,0.5,0.0,2.3,18.5,0.0,0.0,-4.5
